,OTU_1,OTU_2,OTU_3,OTU_4,OTU_6,OTU_11,OTU_13,OTU_10,OTU_5,OTU_9,OTU_151,OTU_101,OTU_8,OTU_7,OTU_12,OTU_34,OTU_44,OTU_26,OTU_33,OTU_21,OTU_31,OTU_147,OTU_17,OTU_24,OTU_20,OTU_51,OTU_19,OTU_15,OTU_45,OTU_25,OTU_65,OTU_30,OTU_16,OTU_29,OTU_47,OTU_22,OTU_42,OTU_32,OTU_41,OTU_452,OTU_260,OTU_87,OTU_52,OTU_27,OTU_37,OTU_94,OTU_98,OTU_59,OTU_170,OTU_71,OTU_54,OTU_75,OTU_18,OTU_66,OTU_155,OTU_14,OTU_58,OTU_28,OTU_50,OTU_73,OTU_74,OTU_191,OTU_48,OTU_23,OTU_237,OTU_68,OTU_76,OTU_49,OTU_46,OTU_93,OTU_35,OTU_61,OTU_241,OTU_70,OTU_63,OTU_177,OTU_62,OTU_53,OTU_149,OTU_86,OTU_99,OTU_122,OTU_106,OTU_81,OTU_201,OTU_85,OTU_188,OTU_72,OTU_69,OTU_284,OTU_112,OTU_77,OTU_119,OTU_40,OTU_117,OTU_39,OTU_110,OTU_136,OTU_108,OTU_160
31,23.047176,7.609094,7.712344,1.8591207,1.6845877,2.1731205,1.1692142,1.332325,0.45286638,0.86859936,0.77698386,1.1829945,0.62305737,0.961974,0.7551558,0.592877,0.770037,0.73051006,0.46644723,0.760103,0.86342806,0.7936762,0.34072915,0.31562725,0.511295,0.34806728,0.51883495,0.335135,0.57786036,0.34648487,0.30859703,0.42389876,0.28454348,0.4826439,0.56256753,0.24005194,0.22259171,0.25790644,0.41043216,0.44604528,0.47847044,0.3966195,0.2958121,0.3867084,0.24886921,0.20715727,0.4066966,0.23791166,0.29538292,0.2514428,0.1982827,0.2543978,0.14761335,0.37024015,0.4421949,0.43018696,0.20507032,0.03945388,0.4455343,0.22495705,0.33590004,0.19364505,0.15755957,0.3080386,0.15898797,0.35362682,0.29107368,0.46506795,0.15025222,0.22441979,0.021787938,0.112829514,0.4517149,0.386587,0.32783127,0.28165904,0.33031484,0.12355289,0.16050194,0.072731204,0.2220362,0.22047117,0.49610266,0.18404004,0.19553806,0.33840078,0.13923647,0.2242685,0.06596419,0.14941166,0.03306158,0.3137754,0.1479215,0.33526015,0.14954779,0.23798567,0.22992155,0.1576696,0.02626936,0.16591069
32,22.925898,7.47971,7.028425,1.458124,1.5407833,2.1964223,0.973216,1.03472,0.4243803,0.73943883,0.5162508,0.92508477,0.70234525,1.4987619,0.6176859,0.54714507,0.38436767,0.67859834,0.3922083,0.7599876,0.7248601,0.9131852,0.30328533,0.20678684,0.738822,0.36729476,0.69941884,0.42971024,0.5773418,0.17428662,0.22525305,0.43815035,0.62898934,0.36777845,0.28154522,0.63887745,0.1522972,0.5064813,0.4958654,0.442617,0.29858238,0.51096004,0.32930183,0.4425495,0.25535032,0.24735706,0.36637196,0.22201234,0.25505733,0.28624973,0.22567812,0.27061972,0.08467648,0.2720253,0.5097669,0.524189,0.21435995,0.022081047,0.5771555,0.23579746,0.27094007,0.1469313,0.2521652,0.3190421,0.14828165,0.4588191,0.26054978,0.39060724,0.29469502,0.3375495,0.035661776,0.24325037,0.31454217,0.26370236,0.44886163,0.33270323,0.105781905,0.2528059,0.296814,-0.07508369,0.3105614,0.18115711,0.3280402,0.18808448,0.18588102,0.49444908,0.22821587,0.2734543,0.003043186,0.26370874,0.03784864,0.24989337,0.0057399906,0.14133081,0.1493179,0.23648405,0.13807212,0.22647287,-0.16408506,0.2333619
33,23.11645,7.217046,8.495662,1.7291583,1.5301039,2.428137,1.6056318,1.380605,0.49669197,0.77655375,0.75772107,1.2101531,0.79960245,0.9958424,0.70143163,0.64204115,0.73684067,0.5326382,0.257948,0.73368484,0.77195024,0.72342575,0.26661277,0.39166397,0.59959537,0.27319768,0.40370506,0.36331043,0.4914021,0.48227388,0.3418405,0.33797544,0.30292594,0.34087864,0.47324616,0.23257133,0.2270811,0.2912389,0.30977747,0.5413969,0.4394284,0.418674,0.28688347,0.3883969,0.262045,0.24953675,0.36868325,0.2008229,0.31483978,0.16228263,0.24352258,0.3069366,0.113495275,0.25365567,0.5007066,0.18266393,0.1301195,-0.0239137,0.5077345,0.21794805,0.28309903,0.3345749,0.15132272,0.52187896,0.18244776,0.19999126,0.27370217,0.19045125,0.2200197,0.31051162,0.21074423,0.2199831,0.23693442,0.45091894,0.30366835,0.35438776,0.24137945,0.12165183,0.2381778,0.10355751,0.17688717,0.14615852,0.3555159,0.1667996,0.21522999,0.22121924,0.24970841,0.24252221,0.09472875,0.12597731,0.225363,0.2540874,0.14798972,0.24253286,0.054977436,0.23294656,0.24394768,0.1738477,0.1063721,0.17738554
34,19.228497,5.895945,7.292503,1.5502943,1.2762673,1.8899755,1.4651425,1.1649469,0.45404002,0.6609549,0.66308707,0.94898236,0.65430045,0.8118906,0.49651372,0.55305994,0.5870277,0.4180538,0.27839118,0.645438,0.6262173,0.6571388,0.3099491,0.29622656,0.46554077,0.23261598,0.3638288,0.29880068,0.37416726,0.33906895,0.30354744,0.2584944,0.2255083,0.28041655,0.36502326,0.22835311,0.21182683,0.22479126,0.29686353,0.4508591,0.37363446,0.30813086,0.22706965,0.35292464,0.23424771,0.19778067,0.27085495,0.15440457,0.24106544,0.17205325,0.25505313,0.25138408,0.12872618,0.19353513,0.3729465,0.21773571,0.12976582,-0.03297723,0.3684663,0.20095459,0.24444258,0.26354104,0.14727393,0.441751,0.18357193,0.21773148,0.21573739,0.16268913,0.15966737,0.28159973,0.24327114,0.1607118,0.19906095,0.35785276,0.23974697,0.2695818,0.1719344,0.08959083,0.17389536,0.110291734,0.13783394,0.15101191,0.21082498,0.13984646,0.20382945,0.20297787,0.17518973,0.17034274,0.08547942,0.10405353,0.19484474,0.22208697,0.08712064,0.23668529,0.049234133,0.2017666,0.20051382,0.18629792,0.13329327,0.12921838
35,17.715113,5.5477047,6.273628,1.3565061,1.2265221,1.7167933,1.1351314,0.99270576,0.38528696,0.6009953,0.5884003,0.8572518,0.5803281,0.83136576,0.5152412,0.5103795,0.47472355,0.4902894,0.29128668,0.6478388,0.5751945,0.6301537,0.25147212,0.25328392,0.42413902,0.22484826,0.42180806,0.29210895,0.38652474,0.26155335,0.2616368,0.32436347,0.3031067,0.30700386,0.3073557,0.29942402,0.1716345,0.28744107,0.30888462,0.44080704,0.32793382,0.36649215,0.21828058,0.32865524,0.21804303,0.19096844,0.28618783,0.16856796,0.22498226,0.1661339,0.21072014,0.2156319,0.098366626,0.22358663,0.39025676,0.2694312,0.13629153,-0.023626763,0.3402343,0.17641687,0.23166177,0.18921994,0.15470785,0.30022916,0.15012272,0.25531387,0.22664401,0.19580501,0.1707818,0.2731256,0.149966,0.13936472,0.22140135,0.26692235,0.30059776,0.29509988,0.1683897,0.094332516,0.17583913,0.047246747,0.14268033,0.14865723,0.25835323,0.16510077,0.17943877,0.25250652,0.18104912,0.16915259,0.061690077,0.13536613,0.1394288,0.21498491,0.06295257,0.2034793,0.06453088,0.22589879,0.14598146,0.13021122,0.034003023,0.13361742
36,16.623499,5.1343036,6.1671753,1.2589911,1.1557529,1.614593,1.1898694,0.9937131,0.3963377,0.5472257,0.5677974,0.82112557,0.5790844,0.7804472,0.48889056,0.49200767,0.45034122,0.41189438,0.24959597,0.6099046,0.5375259,0.5853781,0.28800905,0.24934068,0.37977642,0.20926003,0.34674722,0.2849012,0.35738838,0.28352362,0.26278353,0.2830419,0.23453644,0.2558646,0.29108757,0.2660057,0.17509799,0.24336484,0.28404623,0.4118783,0.32574764,0.29903674,0.23378274,0.30064315,0.2128632,0.18381087,0.24231935,0.16034526,0.22155896,0.15139869,0.23212004,0.21049245,0.11335944,0.19221118,0.33789262,0.20248227,0.13136609,-0.030776668,0.33773178,0.1855801,0.20487031,0.2157419,0.14710733,0.34436452,0.15362869,0.21756615,0.19904707,0.16340907,0.15565579,0.25786278,0.16088322,0.13494882,0.18780838,0.28298602,0.24973585,0.2583077,0.15465468,0.09711538,0.15736966,0.06804559,0.13305643,0.12334993,0.22913715,0.15076329,0.17134725,0.21943372,0.16425559,0.15710121,0.06404719,0.120040126,0.18513535,0.19944099,0.075201906,0.1767353,0.048237782,0.20724356,0.15224504,0.12466097,0.062221825,0.11688231
37,14.961624,4.6496153,5.525399,1.1584702,1.0306327,1.4701784,1.0589724,0.8889456,0.36328593,0.5146858,0.5114828,0.73955494,0.5186726,0.69013214,0.4247767,0.4376858,0.42051992,0.37290257,0.2348651,0.54123855,0.49148285,0.5282313,0.2501464,0.23236579,0.3536434,0.18831092,0.3210872,0.24968071,0.32543814,0.25284117,0.2285464,0.23710686,0.2224984,0.23774883,0.28049737,0.22359988,0.16690665,0.22224706,0.2592882,0.36932698,0.29163602,0.26033953,0.20644692,0.27476397,0.19382203,0.16130428,0.21667588,0.14295995,0.19669682,0.13423291,0.20893843,0.191731,0.11010425,0.17355198,0.3083809,0.19462909,0.11477873,-0.03302063,0.2990683,0.16771987,0.19606023,0.17971782,0.13454823,0.2992884,0.13108417,0.20012978,0.18131675,0.15370068,0.13399248,0.23502284,0.15807672,0.11597147,0.1772606,0.26093438,0.21760319,0.23510486,0.14072816,0.087834716,0.14139034,0.06826532,0.11603909,0.119369924,0.20649004,0.13590078,0.16034329,0.19692007,0.15343538,0.1467962,0.063352264,0.09862117,0.1530216,0.1852536,0.074552886,0.16251794,0.044899527,0.18419385,0.14465718,0.12665413,0.06622481,0.1063097
38,13.943024,4.3486238,5.1058493,1.0672504,0.97013324,1.3720634,0.9753557,0.8161211,0.3348951,0.48238313,0.4810983,0.69658834,0.4899481,0.6524985,0.41403022,0.40897867,0.38265905,0.36776215,0.22604024,0.5130186,0.45579264,0.49617854,0.2336732,0.21873605,0.32407713,0.17460428,0.30969694,0.23618518,0.3121189,0.23807853,0.21569031,0.2327165,0.21917294,0.22162148,0.25914574,0.2136138,0.15544327,0.21982105,0.24683937,0.34648025,0.2716705,0.25100976,0.19869563,0.2560497,0.18527707,0.15245931,0.1977605,0.14143258,0.18528795,0.122176945,0.19562165,0.17880154,0.10183801,0.16811198,0.293719,0.18075924,0.108044565,-0.030856846,0.2816227,0.1580046,0.18615545,0.15940776,0.12835756,0.2690521,0.11774461,0.1935606,0.17683333,0.14493269,0.12708873,0.2231448,0.14345783,0.10578074,0.17269528,0.23958245,0.21541877,0.23022583,0.13375852,0.08700569,0.13378198,0.058655955,0.10794964,0.11409994,0.20249088,0.13586211,0.15024015,0.19279882,0.15206154,0.14072433,0.058018446,0.09673157,0.1485202,0.17745008,0.07270892,0.14849918,0.042472493,0.18152845,0.13001883,0.11096437,0.05913704,0.10183611
39,12.983508,4.043078,4.7989984,0.99784094,0.9060959,1.2779272,0.93137497,0.77036583,0.31803858,0.4500401,0.4541909,0.65199804,0.460955,0.606494,0.38743207,0.38491535,0.35792905,0.33632678,0.21246934,0.48361534,0.4232756,0.46382222,0.23163961,0.20652282,0.29694426,0.16163424,0.28532445,0.22036037,0.29138938,0.22509147,0.20455316,0.21272801,0.19954269,0.20297444,0.24495612,0.1946249,0.15073165,0.20441471,0.2326182,0.32331133,0.25811213,0.2268939,0.19094086,0.23886088,0.1768951,0.14199363,0.17766067,0.13397273,0.17653674,0.1123251,0.18985808,0.16834602,0.101208374,0.15590973,0.26939768,0.16463669,0.10232259,-0.032399815,0.26407453,0.15223086,0.1743356,0.1488185,0.122270055,0.2572458,0.11101806,0.17972244,0.1638816,0.13172166,0.115281,0.21006551,0.14099514,0.096030585,0.15975985,0.23027132,0.19589962,0.2145958,0.12271787,0.081808336,0.12332561,0.05946683,0.098956995,0.10536274,0.18696775,0.12653202,0.14403452,0.18054137,0.1439716,0.13293312,0.05693583,0.08885048,0.14693248,0.1686432,0.072323635,0.13728026,0.035986662,0.1708355,0.1255299,0.10581968,0.06491609,0.09363748
40,12.0595,3.766018,4.4513626,0.93282574,0.8436588,1.1929729,0.86343664,0.7150749,0.30002466,0.42768025,0.42443645,0.60888916,0.43145767,0.5618799,0.36097068,0.35785785,0.33657178,0.31823033,0.20316231,0.45101926,0.39596635,0.43145904,0.21494243,0.19667575,0.2767128,0.14925537,0.26938194,0.2039485,0.27436477,0.21123978,0.18877001,0.19504108,0.19090386,0.19078784,0.23516716,0.17605035,0.14473598,0.19385344,0.2190922,0.30214596,0.24067977,0.20864108,0.17951411,0.2227833,0.16790739,0.13097443,0.16177925,0.12637964,0.16509902,0.10225971,0.17880109,0.15801594,0.09780346,0.14672312,0.25287795,0.15523261,0.09491199,-0.033845894,0.24482673,0.1442358,0.16659687,0.13212617,0.11560714,0.2344219,0.09968774,0.16928099,0.15484391,0.12438593,0.10480965,0.1977362,0.13572429,0.086196125,0.15308985,0.2173433,0.18149504,0.20354679,0.115682,0.07799339,0.114679895,0.0573881,0.09012633,0.101367705,0.17619006,0.1208249,0.13680814,0.17039737,0.13874026,0.12587298,0.055163153,0.07988143,0.13631147,0.16076651,0.07213737,0.12670046,0.033284903,0.16095686,0.11973208,0.10111217,0.06352286,0.0877196
